"रवींद्र,दाणी"
उजळंबकर
"श्री,उजळंबकर"
"गंगावती,कुलकर्णी"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"कृ,मु,उजळंबकर"
"गंगावती,कुलकर्णी"
"जे,कृष्णमूर्ती"
"जे,कृष्णमूर्ती"
"जे,कृष्णमूर्ती"
"मोहन,जोशी"
भिशीकर
"डॉ,वांगीकर"
"वा,ल,जैतापकर"
"रोहिणी,चितळे"
"डॉ,सत्यशील"
स्वामी
"प्रो,जी,एम,कार्लेकर"
"स्वामी,विरानंद"
"कृ,मु,उजळंबकर"
इतर
"डॉ,दास्ताने"
"सौ,आगासे"
"प्रा,संजीव,नलावडे"
"सुधीर,र,चौधरी"
"सुधाकर,काळे"
"डॉ,प्रभा,अत्रे"
"अरुण,हरकरे"
"आशा,परुळेकर"
"जयंत,रानडे"
"डॉ,दास्ताने"
"प्रा,मोहन,आपटे"
"प्रसाद,केरकर"
"प्रा,जोशी"
"डॉ,सबनीस"
"अरुण,ढेरे"
"डॉ,उल्हास,कोल्हटकर"
"संजीव,नलावडे"
"संजीव,नळावडे"
"डॉ,संतोष,दास्ताने"
शिरीष
हळदणकर
"गंगाधर,महाम्बरे"
"डॉ,श्रीराम,कामात"
"वनराज,साळवी"
"एन,डी,कांबळे"
"आर,डी,सोनार"
"रामदास,पाध्ये"
"श्रीराम,रानडे"
"वा,ज्यो,देशपांडे"
"ग,प्र,परांजपे"
"सु,ह,जोशी"
"सु,ह,जोशी"
"सौ,शशिकला,उपाध्ये"
"कृ,पं,देशपांडे"
"सौ,मेधा,सिधये"
"म,वि,सोवनी"
"सौ,अंजली,पेंडसे"
"प्र,के,घाणेकर"
"प्र,के,घाणेकर"
"पंडित,विद्यासागार"
"प्रा,रवींद्र,कोठावदे"
"दि,गो,वारवास्कर"
"अ,दि,कोकड"
"अ,दि,कोकड"
"सुनिल,अंबिके"
इतर
"बी,टी,कुलकर्णी"
संपादक
संपादक
"गौतम,शिंदे"
"डॉ,विद्या,देवधरं"
"डॉ,दादा,गोरे"
"संक,दत्ता,देसाई"
संपादक
"डॉ,अशोक,चौसाळकर"
संपादक
संपादक
संपादक
"सुधाकर,व,सौ,वर्षा,प्रभु"
"रा,दा,करमरकर"
"आ,ग,कुलकर्णी"
"मोहन,सराफ"
"प्रा,श्री,वि,खेर"
"श्याम,भुर्के"
"प्रभाकर,दिघे"
"संग्रा,गो,सी,गोखरे"
"संग्रा,गो,सी,गोखरे"
"संग्रा,गो,सी,गोखरे"
"संग्रा,गो,सी,गोरखरे"
"संग्रा,गो,सी,गोरखरे"
"सचिन,कानिटकर"
"दिपक,भागवत"
"जयंत,रानडे"
"केशव,रा,फडणीस"
"प्र,के,अत्रे"
"वसंत,विष्णु,लोणकर"
"अनु,रंगा,मराठे"
"माधव,गडकरी"
"व्यंकटेश,माडगूळकर"
"अनु,गो,नी,पुरंदरे"
"संपादक,पवार"
"मनोहर,पानसरे"
संपादक
"म,वि,सोवनी"
"श्री,यशवंतराव,चव्हाण"
"शब्दां,वारघडे"
"शब्दां,वारघडे"
"शब्दां,वारघडे"
सुरेशचंद्र
"पु,ला,देशपांडे"
"शरदचंद्र,गोखले"
"पु,ल,देशपांडे"
"ग,वि,केतकर"
संपादक
"स्वामी,विवेकानंद"
"वि,आ,बुवा"
संपादक
"सौ,मनिषा,राजेंद्र"
"प्रा,आगाशे"
संपादक
"नीलकंठ,खाडीलकर"
संपादक
"पांडुरंग,काळे"
"प्रा,स्वाती,कर्वे"
"सुभाष,भेण्डे"
"खुशवंत,सिंग"
"डॉ,सुमति,कुलकर्णी"
"प्रतिभा,काळे"
"ज,ग,जाधव"
"संक,बाळासाहेब,बाबर"
"राम,कुलकर्णी"
"श्री,माधव,पंडित"
"नंदकुमार,टेणी"
"ज्ञानेश,महाराव"
"अरुण,टिकेकर"
"आर,जी,पारगावकर"
"अनंत,भावे"
शिरीष
"प्रा,पी,एस,चंगोळे"
"ताराबाई,शिंदे"
संपादक
"डॉ,सुलभा,ब्रह्मे"
"अविनाश,बिनीवाले"
"मिखाईल,गोबाचेव्ह"
संपादक
"वयंकटेश,माडगूळकर"
"अनु,ह,अ,भावे"
"वसंत,शां,देसाई"
संपादक
"भाई,अमरसिंग"
संपादक
संपादक
संपादक
संपादक
संपादक
संपादक
संपादक
"एस,एल,गुलाटी"
संपादक
संपादक
संपादक
संपादक
संपादक
संपादक
"डेव्ह,अँड,ड्यूक"
"डॉ,विश्वास,मेहेंदळे"
"आदी,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"हेमचंद्र,राजे"
"र,का,सावंत"
"सचिन,शहा"
"सचिन,शहा"
"अ,दि,कोकड"
"अ,दि,कोकडं"
"अ,दि,कोकडं"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"अ,दि,कोकड"
"द,गो,मांदळे"
"मुकुंद,टेकाडे"
"राजा,मंगळवेढेकर"
"सौ,नीलम,माणगावे"
"चंद्रशेखर,धर्माधिकारी"
"वि,वा,शिरवाडकर"
"अरुण,सारथी"
"आनंद,केळकर"
"दवणे,प्रवीण"
"मधू,पोतदार"
"प्र,के,अत्रे"
"व,दे,गवाणकर"
"आबासाहेब,आचरेकर"
"अनु,अरविंद,लेले"
"विजय,कुवळेकर"
"व,पु,काळे"
"डॉ,प्रभाकर,चौधरी"
"शंकर,सारडा"
"आणा,डांगे"
"इंदिरा,संत"
"माधव,गडकरी"
"माधव,गडकरी"
"गंगाधर,इंदूरकर"
"डॉ,सुधीर,राशिंगकर"
"अनु,करुणा,गोखले"
"अंजली,पेंडसे"
"शिरीष,पै"
"अविनाश,धर्माधिकारी"
"श्री,ना,पेंडसे"
"विजय,तेंडुलकर"
"पां,भा,डिंगरे"
"रवींद्र,पिंगे"
"माधव,गोडबोले"
"माधव,गडकरी"
"कुसुम,कानेटकर"
"राम,शेवाळकर"
"माधव,गडकरी"
"माधव,गडकरी"
"डॉ,जया,सागडे"
"डॉ,उल्हास,तुळपुळे"
"संतोष,दास्ताने"
"डॉ,जयंत,नारळीकर"
"लता,राजे"
"दिलीप,पारेख"
"अप्पा,पटवर्धन"
"मी,त्र्यं,सप्तर्षी"
"भाऊ,धर्माधिकारी"
"हा,भा,वाघोळीकर"
"श्री,ब,चाफेकर"
"सुषमा,जोशी"
"नंदकुमार,कुळथे"
"अनंत,जोशी"
"आर,एन,गुळाटि"
"विधा,बापट"
"सुधा,भिडे"
"प्रकाश,जोगळेकर"
"विलास,खोळे"
"श्याम,मराठे"
"सुधा,भिडे"
"डॉ,वि,य,कुलकर्णी"
"मधुसूदन,घाणेकर"
"बाळ,गाडगीळ"
"विजया,राजाध्यक्ष"
"वि,शं,पारगावकर"
"डॉ,किशोरी,पै"
"गंगादर,गाडगीळ"
"गंगाधर,महाम्बरे"
"डॉ,लीला,पाटील"
"विजया,वाड"
"श्रीराम,गीत"
"अनु,मीना,टाकथाकार"
"राम,शेवाळकर"
"राजा,राजवाडे"
"गोविंद,शं,बापट"
"शांता,ज,शेळके"
"श्याम,मराठे"
"वि,गो,भागवत"
"रवींद्र,पिंगे"
"प्रवीण,दवणे"
"शैलजा,भेद"
"गोविंद,तळवळकर"
"मारुती,चित्तमपल्ली"
"आशा,परुळेकर"
"प्रल्हाद,केशव,अत्रे"
"शंकरराव,खरात"
"शिवाजी,सावंत"
"शांता,ज,शेळके"
"शुभांगी,सूर्यवंशी"
संपादक
संपादक
"विश्वास,मेहेंदळे"
"डॉ,प्र,चिं,शेजवळकर"
"छाया,गोडबोले"
"यशवंत,स,दातार"
"जनार्दन,करंदीकर"
संपादक
"क्षमा,वा,कुलकर्णी"
"प्रा,रा,सो,सराफ"
"व,पु,काळे"
"राजेंद्र,मंत्री"
"शंकर,सारडा"
"शंकर,सारडा"
"डॉ,शशिकांत,देशपांडे"
"व,पु,काळे"
"शऱू,रांगणेकर"
"बापू,वाटवे"
"फुले,गुरूजी"
"ज्ञानेश,महाराव"
संपादक
"डॉ,अनिल,जगदाळे"
"श्री,के,पी,भागवत"
"अविनाश,धर्माधिकारी"
"दिलीप,प्रभोळकर"
"राम,शेवाळकर"
"डॉ,बाबासाहेब,आंबेडकर"
"गंगाधर,महाम्बरे"
"डॉ,अरुणा,कौलगुड"
"गंगाधर,महाम्बरे"
"संपा,विदुला,पटवर्धन"
"अनु,मीना,किणीकर"
"भारती,पांडे"
"मृणालिनी,गडकरी"
"प्रा,दि,श्री,कांबळे"
"अ,कृ,देशपांडे"
संपादक
"अनु,माधव,मोर्डेकर"
संपादक
"आनंद,यादव"
"अनु,ज्ञानदा,नाईक"
"चंद्रहास,जोशी"
"डॉ,माधवराव,शिवणेकर"
"अनु,मृणालिनी,गडकरी"
"अरुण,शेवाळे"
"पु,रा,बेहरे"
"डॉ,रमा,मराठे"
"व,पु,काळे"
"य,दि,फडके"
"जयंत,नारळीकर"
"शिवाजी,सावंत"
"मनोहर,चंपानेरकर"
"सौ,विजया,खलगांवकर"
संपादक
"एन,डी,आपटे"
"एन,डी,आपटे"
"शुभांगी,सूर्यवंशी"
"रवींद्र,देसाई"
संपादक
संपादक
संपादक
संपादक
"कमल,पाध्ये"
"डॉ,एम,लक्ष्मीकुमारी"
संपादक
"अनु,सुधाकर,सी,वाकणकर"
हेमाग्रज
"वसंत,मून"
"पु,ल,देशपांडे"
"अनंतराव,आठवले"
"संपा,अनंत,ग,देवकुळे"
"बाबासाहेब,पुरंदरे"
"सुधा,माने"
"द,पा,खांबेटे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"ह,अ,भावे"
"प्रा,मधुकर,दिघे"
विनोबा
"त्रिंबक,ना,अत्रे"
"प्रा,वा,शि,आपटे"
"डॉ,किशोरी,पै"
"रोहिणी,चितळे"
"अनिता,राजगुरू"
"वनराज,माळवी"
"प्रकाश,कोळवणकर"
"प्रदीप,कर्णिक"
"चंद्रहास,जोशी"
"राजकुमार,रायवाडीकर"
"प्रतिभा,काळे"
"दिलीप,प्रभावळकर"
"आशा,परुळेकर"
"वृदा,लिमये"
"अशा,परुळेकर"
"सुरेश,वांदिले"
"सुधाकर,देशपांडे"
"श्री,म,माटे"
"वनराज,मढवी"
"अरविंद,खळदकर"
"डॉ,प्र,न,जोशी"
"गोदावरी,परुळेकर"
"डॉ,लीला,गोविळकर"
"आशा,परुळेकर"
संपादक
"जे,कृष्णमूर्ती"
"श्याम,मानव"
"अशा,परुळेकर"
"य,दि,फडके"
"निर्मल,कुमार,फडकुले"
"य,दि,फडके"
"त्रं,वि,सरदेशमुख"
"प्र,के,अत्रे"
संपादक
"सौ,सुमती,खारकर"
संपादक
"अ,म,भिडे"
"नामदेव,ढसाळ"
"सतीश,पोरे"
"ज,श्री,टिळक"
संपादक
"सुकृत,खांडेकर"
"ज,श्री,टिळक"
"वि,स,सहस्त्रबुद्धे"
"ज,श्री,टिळक"
"श्रीनिवास,ब,बेळवी"
"ज,श्री,टिळक"
"संपा,इंदू,टिळक"
"संपा,इंदू,टिळक"
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
"स्वामी,विवेकानंद"
संपादक
"डॉ,म,अ,मेहेंदळे"
संपादक
"संपा,विनायक,राजगुरू"
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
ओशो
"स्वामी,विवेकानंद"
"अ,वि,दास"
"शैलजा,ग्रव"
संपादक
संपादक
"स्वामी,विवेकानंद"
"अ‍ॅड,माधव,सराफ"
"प्रशांत,शिंदे"
"रवींद्र,पिंगे"
"सुजाता,गानु"
"स्वामी,विवेकानंद"
"वि,शं,बेनोडेकर"
"दु,आ,तिवारी"
"अनंत,वा,मराठे"
"स्वामी,विवेकानंद"
"विष्णू,वा,जोशी"
"शं,वा,देशपांडे"
"महात्मा,गांधी"
संपादक
"श,ग,अकोलकर"
"प्रा,वि,पां,बोकील"
संपादक
"विनोबा,भावे"
संपादक
"ना,बा,गोखले"
संपादक
"प्रा,मोतिराज,राठोड"
"डॉ,बाबासाहेब,आंबेडकर"
"डॉ,सुलभा,ब्रह्मे"
"शाहिद,भगतसिंग"
"गोविंद,पानसरे"
"गणपत,ना,हंबीर"
"वामन,भा,पाठक"
"स,अं,डांगे"
"जे,कृष्णमूर्ती"
"प्रशांत,शिंदे"
"विनोबा,भावे"
"रमेश,पटवर्धन"
"दत्ता,देसाई"
"करुणा,गोखले"
"वि,द,कदम"
"ग,म,सोहोनी"
"विनायक,लिमये"
"के,ज,पुरोहित"
संपादक
"शारदा,अ,राजेशिर्के"
"सुधीर,रसाळ"
"जे,के,जाधव"
"प्रवीण,दवणे"
"ज्ञानेश,महाराव"
"वामन,देशपांडे"
"वि,बा,सावंत"
"विजय,गोळेसर"
"डॉ,शां,ब,मुजुमदार"
"शरद,गोपाळ,बेडेकर"
"रमेश,पुंडलिक,महाराज"
"श्रीधर,नार्वेकर"
"दत्ता,जी,कुलकर्णी"
"स,ह,जोशी"
"बाळ,गाडगीळ"
"सुधीर,जोशी"
"वामन,देशपांडे"
"राम,प्रधान"
"सविता,भावे"
"मुबारक,हुसेन,मनियार"
"मुबारक,हुसेन,मनियार"
"मौ,इन,आमूरहमान,खान"
"मौ,इन,आमूर,रेहमान,खान"
"मौ,इन,आमूर,रेहमान,खान"
"सय्यद,अबुल,अलामौदी"
"सय्यद,अबुल,अलामौदी"
"सय्यद,अबुल,अलामौदी"
"सय्यद,अबुल,अलामौदी"
"सय्यद,अबुल,अलामौदी"
"ना,सि,फडके"
"ना,सि,फडके"
"ना,सि,फडके"
"सदानंद,नाईक"
"प्रशांत,शिंदे"
"प्रा,बलराम,शेवाळकर"
"भालचंद्र,साठे"
"सुनीता,देशपांडे"
"डॉ,वैजयंती,खानविलकर"
"श्रीकांत,सिनकर"
"स,ह,जोशी"
"शैलजा,ग्रब"
"दिलीप,प्रभावळकर"
"डॉ,श्रीधर,गार्वेकर"
"डॉ,श्रीनिवास,कशाळीकर"
"डॉ,राजेंद्र,बर्वे"
"रमेश,रघुवंशी"
"उल्हास,राजज्ञ"
"उल्हास,राजज्ञ"
"ल,ना,मराठे"
"शिवाजी,सावंत"
"देवेंद्र,प्रभाकर,रण,भरे"
"सौ,भारती,रेवडकर"
"डॉ,राम,कुलकर्णी"
"रवींद्र,पिंगे"
"प्रा,आफळे,रा,रा"
"डॉ,रत्नाकर,महाजन"
"डॉ,प्रा,विश्वनाथ,शिंदे"
संपादक
"जयंत,रानडे"
"लीला,आवटे"
"शिवशंकर,त्र्यं,पटवारी"
"प्रभाकर,पवार"
"सौ,श्रद्धा,कळवंटे"
"संजय,नहार"
"सुरेशचंद्र,पाध्ये"
"आर,के,लक्ष्मण"
"खुशवंत,सिंग"
"बबन,नाखले"
"बलराज,पुरी"
"गिरीश,कुबेर"
"डॉ,सुब्रमण्यम,स्वामी"
"बाळ,गाडगीळ"
"निंबराज,जाधव"
"स्वामी,विवेकानंद"
"स्वामी,विवेकानंद"
"अंजली,पेंडसे"
"पां,दा,चौधरी"
"केशव,बा,वसेकर"
"वासंती,मुजुमदार"
"जयंत,रानडे"
"रामकृष्ण,जांभेकर"
"मारुती,चितमपल्ली"
"रमेश,सोनावणे"
"नरेंद्र,दाभोलकर"
"महेश,घाटपांडे"
"बाबासाहेब,आंबेडकर"
"जयंत,नारळीकर"
"शेषराव,मोरे"
"बबन,नखले"
"सुजाता,गानू,टिकेकर"
"राम,शेवाळकर"
"अशोक,टिकेकर"
"द्वारकानाथ,संझगिरी"
"व,पु,काळे"
"सुजाता,गानू,टिकेकर"
"शांता,ज,शेळके"
"लक्ष्मण,लोंढे"
"अच्युत,गोडबोले"
"डॉ,प्रकाश,परांजपे"
"शी,द,फडणीस"
"मिलिंद,ओक"
"वि,वा,शिरवाडकर"
"श्रीराम,ग,पचिंद्रे"
"रमेश,सहस्रबुद्धे"
"प्रभावती,पूरम"
"बाळ,ज,पंडित"
"मारुती,चितमपल्ली"
"चंद्रशेखर,जोशी"
"सुधीर,गाडगीळ"
"श्री,वा,काळे"
"रा,रा,जांभेकर"
"संजय,नाईक"
"राम,शेवाळकर"
"डॉ,सौ,नीलिमा,निशानदार"
"अनंत,वि,गाडगीळ"
"विनायक,दा,सावरकर"
"ज,द,जोगळेकर"
"वि,वा,शिरवाडकर"
"सुभाष,भेण्डे"
"वसंत,कानेटकर"
"जिजाराम,चव्हाण"
"डॉ,नागनाथ,हेंगे"
"निरंजन,घाटे"
"केशव,रा,फडणीस"
"ग,दि,माडगूळकर"
"सुनीता,देशपांडे"
"डॉ,आ,ह,साळुंखे"
"शिव,खेरा"
"ह,मो,मराठे"
"मिलिंद,बोकील"
"डॉ,स्पेन्सर,जॉन्सन"
"श्रीपाद,जोशी"
"श्याम,तळवडेकर"
"अनिल,अवचट"
"चंद्रशेखर,मुरगुडकर"
"वनराज,मालवी"
"नैना,गुप्ता"
संपादक
संपादक
"गुरु,डिंग,ले,मी"
"डॉ,अ,रा,तोरो"
"श्यामल,राव"
"सतीश,सोळांकु,रकर"
"आर,पी,नाडकर्णी"
"आनंद,घोरपडे"
"दिलीप,प्रभावळकर"
"पु,ल,देशपांडे"
"मनोहर,सप्रे"
"जयप्रकाश,नारायण"
"प्रा,शिवाजीराव,भोसले"
"व,पु,काळे"
"प्रल्हाद,केशव,अत्रे"
"प्रल्हाद,केशव,अत्रे"
"प्रल्हाद,केशव,अत्रे"
"अनिल,अवचट"
"अरविंद,वि,पाटील"
"वनश्री,वि,तुळजापूरकर"
"वनश्री,वि,तुळजापूरकर"
"विनायक,पाटील"
"गोविंद,तळवलकर"
"खुशवंत,सिंग"
विवेक
"नीलकंठ,खाडिलकर"
संपादक
"नारायणदत्त,त्रिपाठी"
संपादक
"चिंतामण,सदाशिव,वझे"
"चिंतामण,सदाशिव,वझे"
"सुरेश,मधुरे"
"नारायण,हरी,आपटे"
"व,शं,जोशी"
"शिवराय,तेलंग"
देसाई
"बिंदुमाधव,जोशी"
"ग,वा,बेहेरे"
"विजय,रणदिवे"
"मनोहर,नाईक"
"मधुकर,दिघे"
"प्रा,मधुकर,दिघे"
"प्रा,मधुकर,दिघे"
"सुजाता,गानू,टिकेकर"
"नागनाथ,काळे"
"डॉ,यशवंत,साधू"
"प्रमोद,नवलकर"
"संपादक,अरुण,शेवते"
"शं,ना,नवरे"
"विश्वास,वसेकर"
"पु,ल,देशपांडे"
"डॉ,लीना,मोहाडीकर"
"निरंजन,घाटे"
"अशोक,जैन"
"नीलम,गोऱ्हे"
"सौ,विद्या,सुहास,जोशी"
"प्रवीण,दवणे"
"प्रवीण,दवणे"
"अरुण,टिकेकर"
"डॉ,श्रीपाल,सबनीस"
"मंगला,बर्वे"
"नीना,कुलकर्णी"
"प्रतिभा,रानडे"
"सौ,अनुराधा,दूरशि"
"गोपाळ,गोडसे"
"डॉ,राम,कुलकर्णी"
"व्ही,पी,कामतकर"
"पु,ग,वैद्य"
"शांता,ज,शेळके"
"डॉ,विठ्ठल,प्रभू"
"डॉ,वा,वा,भागवत"
"महेंद्र,देव"
"प्रा,व,बा,बोधे"
"बाळ,सामंत"
"विलास,पाटील"
"विजया,जोशी"
"हेमंत,कुलकर्णी"
"अरुणा,ढेरे"
"अरुणा,ढेरे"
"शिरीष,कणेकर"
"शिरीष,कणेकर"
"शशिकांत,बाकरे"
"विजया,दिघे"
"एम,बी,गोखले"
"के,सागर"
"प्रा,डी,एन,झा"
"के,सागर,डोईफोडे"
"प्रा,र,ना,गायधनी"
"प्रा,घांगरेकर"
"के,सागर"
"प्रा,गजानन,भिडे"
"प्रा,एल,बी,हरोलीकर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"प्रा,अशोक,डांगे"
संपादक
"पन्नालाल,सुराणा"
"स,मा,गर्गे"
"के,सागर"
"के,सागर"
"के,सागर"
"डॉ,माजिद,हुसेन"
"डॉ,सौ,प्रतिभा,ठिपसे"
"सुमेषा,लेले"
"के,सागर"
"प्रा,एच,के,डोईफोडे"
"प्रा,विलास,पाटील"
"डॉ,व्ही,जी,नांदेडकर"
"व्ही,बी,पाटील"
"के,सागर"
"के,सागर"
बिपीनचंद्र
"सौ,कविता,भालेराव"
"के,सागर"
"प्रा,अशोक,कोंडेकर"
"डॉ,प्रदीप,आगाशे"
"के,सागर"
"एच,के,डोईफोडे"
घांगरेकर
"के,विद्यासागार"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"विजय,नाईक"
"वि,ना,बाचल"
"प्र,न,जोशी"
"के,सागर"
"स,मा,गर्गे"
"के,सागर"
"के,सागर"
"यू,म,पठाण"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"के,सागर"
"ग,ळ,भिडे"
"स्वामी,विवेकानंद"
"विजय,तेंडुलकर"
"डॉ,रमेश,पोतदार"
"गो,मो,गोळे"
"पं,दीनदयाळ,उपाध्याय"
कूटभास्कर
"द्वारकानाथ,रा,तर्खडकर"
"श्री,बिंदुमाधव,जोशी"
"बाळकृष्ण,बर्वे"
"वा,ना,दांडेकर"
"गोवर्धन,आ,भोसले"
"दिनकरराव,जवळकर"
"डॉ,आर,आर,बाटलीवाला"
"कृष्णाबाई,मोटे"
"सुनील,महाजन"
"पं,का,शि,संकाये"
"संजय,रा,देशकर"
"जयश्री,शंकरन"
"प्रा,डॉ,शरद,कळणावते"
"राजेश,राजोरे"
"मधुवंती,सप्रे"
"रजनी,हिरळीकर"
"रं,म,जोशी"
"शा,श्री,गवळी"
"सौ,विमल,काळे"
"भास्कर,चंदनशिव"
"सौ,चारुलता,जुनानकर"
"डॉ,भिरदेव,गायकवाड"
"ललिता,गाढगे"
"प्र,ग,सहस्रबुद्धे"
"अरुण,पांढरीपांडे"
"अशोक,उजळंबकर"
"सुभाष,भेण्डे"
"डॉ,कुमार,सप्तर्षी"
"प्रवीण,दवणे"
"प्रवीण,दवणे"
"प्रा,वीणा,मोहोड"
"श्री,भा,महाबळ"
"य,ना,वालावलकर"
"श्याम,माने"
"श्याम,माने"
"मारुती,चित्तमपल्ली"
"युवराज,पाटील"
"शांता,शेळके"
"अरुण,बेलसरे"
"डॉ,संपतराव,जाधव"
"अरुणा,ढेरे"
"ललिता,गादगे"
"माधवी,देसाई"
"उत्तम,कांबळे"
"अंजली,कीर्तने"
"प्रताप,सी,श्री,पाटील"
"भास्कर,चंदनशिव"
"डॉ,भगवान,कोठेकर"
"अनु,अमृत,देशमुख"
"प्रवीण,दवणे"
"दिलीप,ठाकूर"
"मीना,देशपांडे"
"विकास,वाळुंजकर"
"डॉ,गंगाधर,पानतावणे"
"मंगला,श्री,गोखले"
"उदाजीराव,चव्हाण"
"डॉ,यू,म,पठाण"
"निलेश,मदाने"
"नीलिमा,बोरवणकर"
"व,पु,काळे"
"लक्ष्मण,लोंढे"
"वि,आ,बुवा"
"डॉ,शरणकुमार,लिंबाळे"
"सुजाता,गानू,टिकेकर"
"सुजाता,गानू,टिकेकर"
"प्रशांत,शिंदे"
"श्रावण,ना,जरांगे"
"आचार्य,विजय,रत्नसुंदर"
"यशवंत,पाध्ये"
"बाळ,सामंत"
"डॉ,तेजस्विनी,वाडेकर"
"पु,भा,भावे"
"चित्राताई,जोशी"
"ह,अ,भावे"
"सुलोचना,मराठे"
"रघुनाथ,लोणकर"
"कमल,लेले"
"वैशाली,चिटणीस"
"निर्मलकुमार,फडकुळे"
"अनिल,अवचट"
संपादक
"हीराभाई,ठाकुर"
